Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Ochota, ul. Bitwy Warszawskiej 1920 r.",510 000 zł,11 087 zł/m²,46 m²,2 pokoje
"Warszawa, Wola",479 000 zł,11 683 zł/m²,41 m²,2 pokoje
"Warszawa, Białołęka, Marcina z Wrocimowic",554 000 zł,9788 zł/m²,56.6 m²,3 pokoje
"Warszawa, Białołęka, Mikołaja Trąby",430 000 zł,8687 zł/m²,49.5 m²,2 pokoje
"Warszawa, Ochota, ul. Bitwy Warszawskiej 1920 r. nr 1",575 000 zł,10 648 zł/m²,54 m²,2 pokoje
"Warszawa, Ursus, ul. Herbu Oksza",515 840 zł,10 400 zł/m²,49.6 m²,2 pokoje
"Warszawa, Wola, Obozowa",339 000 zł,11 690 zł/m²,29 m²,1 pokój
"Warszawa, Wola, Emila Zegadłowicza",309 900 zł,14 757 zł/m²,21 m²,1 pokój
"Warszawa, Białołęka, Leona Berensona",459 999 zł,9886 zł/m²,46.53 m²,2 pokoje
"Warszawa, Wola, Erazma Ciołka",650 000 zł,11 927 zł/m²,54.5 m²,3 pokoje
"Warszawa, Wola, Młynarska",439 999 zł,13 056 zł/m²,33.7 m²,1 pokój
"Warszawa, Śródmieście, Nowolipie",399 000 zł,12 904 zł/m²,30.92 m²,1 pokój
"Warszawa, Bemowo, Eugeniusza Szwankowskiego",647 998 zł,8987 zł/m²,72.1 m²,4 pokoje
"Warszawa, Praga-Południe, Ostrobramska",449 000 zł,16 180 zł/m²,27.75 m²,1 pokój
"Warszawa, Ursynów, Kądziołeczki",1 350 000 zł,10 243 zł/m²,131.8 m²,5 pokoi
"Warszawa, Wola",615 000 zł,16 184 zł/m²,38 m²,2 pokoje
"Warszawa, Ursus, ul. Michała Drzymały",440 000 zł,9362 zł/m²,47 m²,3 pokoje
"Warszawa, Praga-Południe, ul. gen. Tadeusza Bora-Komorowskiego",1 190 000 zł,16 436 zł/m²,72.4 m²,3 pokoje
"Warszawa, Włochy, 1 Sierpnia",530 000 zł,9485 zł/m²,55.88 m²,2 pokoje
"Warszawa, Wola, Cypriana Kamila Norwida",380 000 zł,10 298 zł/m²,36.9 m²,2 pokoje
"Warszawa, Ochota, Stara Ochota, Grójecka",670 000 zł,14 189 zł/m²,47.22 m²,2 pokoje
"Warszawa, Ursynów, Eugeniusza Lokajskiego",629 900 zł,10 585 zł/m²,59.51 m²,3 pokoje
"Warszawa, Praga-Południe, Grochów, Turbinowa",450 000 zł,8824 zł/m²,51 m²,2 pokoje
"Warszawa, Ursus, Skorosze",649 000 zł,11 800 zł/m²,55 m²,3 pokoje
"Warszawa, Wola, Płocka",330 000 zł,12 313 zł/m²,26.8 m²,1 pokój
"Warszawa, Praga-Południe, Konrada Guderskiego",740 520 zł,9409 zł/m²,78.7 m²,3 pokoje
"Warszawa, Wola, Sokołowska",640 000 zł,10 101 zł/m²,63.36 m²,3 pokoje
"Warszawa, Praga-Północ",489 000 zł,15 281 zł/m²,32 m²,2 pokoje
"Warszawa, Bielany",509 000 zł,10 604 zł/m²,48 m²,3 pokoje
"Warszawa, Włochy, Stare Włochy, ul. Popularna",998 810 zł,14 476 zł/m²,69 m²,2 pokoje
"Warszawa, Praga-Południe, Gocławek",879 000 zł,14 650 zł/m²,60 m²,3 pokoje
"Warszawa, Wola",489 000 zł,14 818 zł/m²,33 m²,2 pokoje
"Warszawa, Śródmieście, al. Wyzwolenia",574 900 zł,22 996 zł/m²,25 m²,1 pokój
"Warszawa, Wola, Monte Cassino",499 000 zł,12 795 zł/m²,39 m²,2 pokoje
"Warszawa, Włochy, ks. Juliana Chrościckiego",615 000 zł,12 942 zł/m²,47.52 m²,2 pokoje
"Warszawa, Ochota, Bitwy Warszawskiej 1920 r.",780 000 zł,15 918 zł/m²,49 m²,2 pokoje
"Warszawa, Ursynów, Braci Wagów",1 150 000 zł,12 892 zł/m²,89.2 m²,3 pokoje
