Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Mokotów, Sielce, przy Podchorążych/Łazienki Królewskie/po remoncie/ balkon/cegła",1 548 000 zł,17 393 zł/m²,89 m²,4 pokoje
"Warszawa, Śródmieście, Śródmieście Południowe, Piękna/dwustronne/prestiżowa lokalizacja/wysoki standard/kamienica",1 999 000 zł,22 211 zł/m²,90 m²,4 pokoje
"Warszawa, mazowieckie",525 000 zł,9722 zł/m²,54 m²,3 pokoje
"Warszawa, Bemowo, Górce, Lazurowa",930 000 zł,13 850 zł/m²,67.15 m²,2 pokoje
"Warszawa, Żoliborz, Sady Żoliborskie",680 000 zł,12 143 zł/m²,56 m²,3 pokoje
"Warszawa, Białołęka, Jana Husa",410 000 zł,10 540 zł/m²,38.9 m²,2 pokoje
"Warszawa, Wesoła",449 000 zł,8505 zł/m²,52.79 m²,2 pokoje
"Warszawa, Śródmieście, ul. Nowy Świat 60",1 173 000 zł,17 250 zł/m²,68 m²,3 pokoje
"Warszawa, Mokotów, Warszawa, ul. Niegocińska 14",669 000 zł,13 543 zł/m²,49.4 m²,3 pokoje
"Warszawa, Ursynów, Imielin, Filipiny Płaskowickiej",915 000 zł,12 039 zł/m²,76 m²,3 pokoje
"Warszawa, Ursynów, Lasek Brzozowy",560 000 zł,12 027 zł/m²,46.56 m²,2 pokoje
"Warszawa, Wesoła, Stara Miłosna",845 000 zł,10 181 zł/m²,83 m²,3 pokoje
"Warszawa, Mokotów, ul. Orzycka 14",655 000 zł,15 976 zł/m²,41 m²,2 pokoje
"Warszawa, Żoliborz, Krasińskiego 37",449 000 zł,11 973 zł/m²,37.5 m²,2 pokoje
"Warszawa, Wawer, Międzylesie, Konopna",795 000 zł,11 664 zł/m²,68.16 m²,3 pokoje
"Warszawa, Targówek, Łojewska",530 000 zł,11 499 zł/m²,46.09 m²,3 pokoje
"Warszawa, Wilanów, Bruzdowa",828 282 zł,15 929 zł/m²,52 m²,2 pokoje
"Warszawa, Mokotów, Obrzeżna",877 800 zł,15 400 zł/m²,57 m²,2 pokoje
"Warszawa, Ursynów, ul. Stanisława Kazury",660 000 zł,13 895 zł/m²,47.5 m²,3 pokoje
"Warszawa, Śródmieście, Powiśle, Rozbrat",1 079 000 zł,16 992 zł/m²,63.5 m²,2 pokoje
"Warszawa, Praga-Południe, Grochów, Aleja Jerzego Waszyngtona",490 000 zł,10 513 zł/m²,46.61 m²,2 pokoje
"Warszawa, Białołęka, Brzeziny, Skarbka z Gór",660 000 zł,9621 zł/m²,68.6 m²,3 pokoje
"Warszawa, Bemowo, gen. Sylwestra Kaliskiego",645 000 zł,8864 zł/m²,72.77 m²,3 pokoje
"Warszawa, Włochy, Lechicka",619 000 zł,14 634 zł/m²,42.3 m²,2 pokoje
"Warszawa, Bemowo, Sosnowiecka",729 000 zł,8619 zł/m²,84.58 m²,4 pokoje
"Warszawa, Wawer, Wichrowa",640 000 zł,12 872 zł/m²,49.72 m²,2 pokoje
"Warszawa, Białołęka, Lewandów, Podłużna",490 000 zł,8619 zł/m²,56.85 m²,3 pokoje
"Warszawa, Ursus, Dzieci Warszawy",895 000 zł,11 902 zł/m²,75.2 m²,3 pokoje
"Warszawa, Targówek, Bródno, Krasnobrodzka",500 000 zł,10 776 zł/m²,46.4 m²,2 pokoje
"Warszawa, Białołęka, Skarbka z Gór",565 000 zł,8954 zł/m²,63.1 m²,3 pokoje
"Warszawa, Mokotów, Obrzeżna",915 000 zł,16 047 zł/m²,57.02 m²,2 pokoje
"Warszawa, Targówek, Bródno, Wyszogrodzka",535 000 zł,10 918 zł/m²,49 m²,2 pokoje
"Warszawa, Ochota, Szczęśliwice, Włodarzewska",1 420 000 zł,16 706 zł/m²,85 m²,4 pokoje
"Warszawa, Bemowo, Widawska",719 000 zł,10 780 zł/m²,66.7 m²,3 pokoje
"Warszawa, Białołęka, Zdziarska",1 570 000 zł,8263 zł/m²,190 m²,5 pokoi
"Warszawa, Wola, Radziwie",1 000 000 zł,12 750 zł/m²,78.43 m²,4 pokoje
"Warszawa, Praga-Południe, Siennicka",599 000 zł,9508 zł/m²,63 m²,3 pokoje
"Warszawa, Praga-Północ, Środkowa",969 000 zł,14 988 zł/m²,64.65 m²,3 pokoje
"Warszawa, Włochy, Nowe Włochy, Obywatelska",560 000 zł,13 176 zł/m²,42.5 m²,2 pokoje
"Warszawa, Mokotów, Kłobucka",699 000 zł,14 173 zł/m²,49.32 m²,2 pokoje
"Warszawa, Ursynów, Braci Wagów",990 000 zł,14 255 zł/m²,69.45 m²,3 pokoje
"Warszawa, Wesoła, Słowicza",1 250 000 zł,10 508 zł/m²,118.96 m²,5 pokoi
"Warszawa, Praga-Północ, Tarchomińska",935 000 zł,11 761 zł/m²,79.5 m²,4 pokoje
"Warszawa, Białołęka, Brzeziny, Echa Leśne",945 000 zł,9409 zł/m²,100.44 m²,4 pokoje
"Warszawa, Śródmieście, Bonifraterska",439 000 zł,19 955 zł/m²,22 m²,1 pokój
"Warszawa, Wola, Górczewska",474 050 zł,9500 zł/m²,49.9 m²,3 pokoje
"Warszawa, Bemowo, Widawska",561 000 zł,11 987 zł/m²,46.8 m²,2 pokoje
"Warszawa, Wola, Żelazna",718 000 zł,17 564 zł/m²,40.88 m²,2 pokoje
"Warszawa, Włochy, Bakalarska",984 588 zł,13 200 zł/m²,74.59 m²,3 pokoje
"Warszawa, Śródmieście",699 000 zł,12 709 zł/m²,55 m²,2 pokoje
"Warszawa, Ochota, Stara Ochota",560 000 zł,12 182 zł/m²,45.97 m²,2 pokoje
"Warszawa, Praga-Południe, ul. Władysława Umińskiego",599 999 zł,10 563 zł/m²,56.8 m²,3 pokoje
"Warszawa, Wola, ul. Okopowa 56",1 197 700 zł,16 520 zł/m²,72.5 m²,5 pokoi
"Warszawa, Wilanów, Adama Branickiego",850 000 zł,15 455 zł/m²,55 m²,3 pokoje
"Warszawa, Wilanów, Adama Branickiego",840 000 zł,15 849 zł/m²,53 m²,2 pokoje
"Warszawa, Wilanów, Aleja Rzeczypospolitej",729 000 zł,16 613 zł/m²,43.88 m²,2 pokoje
"Warszawa, Wilanów, Franciszka Klimczaka",989 000 zł,13 832 zł/m²,71.5 m²,3 pokoje
"Warszawa, Śródmieście, Śródmieście Południowe",1 291 710 zł,21 000 zł/m²,61.51 m²,3 pokoje
"Warszawa, Praga-Północ",420 000 zł,16 780 zł/m²,25.03 m²,1 pokój
"Warszawa, Ursynów",1 290 000 zł,15 887 zł/m²,81.2 m²,3 pokoje
"Warszawa, Wilanów",1 250 000 zł,15 763 zł/m²,79.3 m²,3 pokoje
"Warszawa, Wilanów, Aleja Wilanowska",1 445 000 zł,15 481 zł/m²,93.34 m²,3 pokoje
"Warszawa, Wilanów, Aleja Rzeczypospolitej",760 000 zł,15 200 zł/m²,50 m²,2 pokoje
"Warszawa, Bemowo, ul. gen. Tadeusza Pełczyńskiego",1 224 000 zł,17 000 zł/m²,72 m²,3 pokoje
"Warszawa, Praga-Południe",399 999 zł,11 429 zł/m²,35 m²,2 pokoje
"Warszawa, Ursus, ul. Herbu Oksza",720 000 zł,11 535 zł/m²,62.42 m²,3 pokoje
"Warszawa, Mokotów, ul. Sandomierska",1 090 000 zł,14 932 zł/m²,73 m²,2 pokoje
"Warszawa, Ochota, Bitwy Warszawskiej 1920 r.",560 000 zł,12 182 zł/m²,45.97 m²,2 pokoje
"Warszawa, Śródmieście, Stare Miasto",922 000 zł,15 897 zł/m²,58 m²,2 pokoje
"Warszawa, Targówek, Zacisze, Gustawa Reichera",595 000 zł,14 512 zł/m²,41 m²,2 pokoje
"Warszawa, Ursynów, ul. Melchiora Wańkowicza",1 150 000 zł,14 744 zł/m²,78 m²,3 pokoje
"Warszawa, Wola",620 000 zł,14 445 zł/m²,42.92 m²,3 pokoje
"Warszawa, Białołęka, Tarchomin, ul. Topolowa",580 000 zł,12 473 zł/m²,46.5 m²,1 pokój
"Warszawa, Mokotów, Dolny Mokotów, ul. Zwierzyniecka 3 / 77",1 100 000 zł,14 865 zł/m²,74 m²,3 pokoje
"Warszawa, Mokotów, Jadźwingów",370 000 zł,13 406 zł/m²,27.6 m²,1 pokój
"Warszawa, Praga-Południe, Brygady Pościgowej",480 000 zł,9856 zł/m²,48.7 m²,2 pokoje
"Warszawa, Targówek, Bródno, Ludwika Kondratowicza",690 000 zł,14 375 zł/m²,48 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław",530 000 zł,16 308 zł/m²,32.5 m²,1 pokój
"Warszawa, Mokotów, Puławska",2 077 100 zł,16 485 zł/m²,126 m²,5 pokoi
"Warszawa, Bielany",595 000 zł,10 625 zł/m²,56 m²,3 pokoje
"Warszawa, Wola, ul. Ogrodowa",799 999 zł,14 545 zł/m²,55 m²,3 pokoje
"Warszawa, Bemowo, Kopalniana",830 000 zł,14 075 zł/m²,58.97 m²,3 pokoje
"Warszawa, Mokotów, Dolny Mokotów, Pory 55a",1 300 000 zł,17 625 zł/m²,73.76 m²,3 pokoje
"Warszawa, Bielany, Wojciecha Bogusławskiego",1 399 000 zł,13 726 zł/m²,101.92 m²,4 pokoje
"Warszawa, Praga-Północ, Kępna",1 179 000 zł,15 720 zł/m²,75 m²,3 pokoje
"Warszawa, Wola, Młynów, Rabsztyńska",720 000 zł,13 048 zł/m²,55.18 m²,2 pokoje
"Warszawa, Białołęka, Żerań, Myśliborska",530 000 zł,10 766 zł/m²,49.23 m²,3 pokoje
"Warszawa, Wilanów, Aleja Rzeczypospolitej",971 950 zł,17 500 zł/m²,55.54 m²,2 pokoje
"Warszawa, Żoliborz",469 000 zł,16 172 zł/m²,29 m²,1 pokój
"Warszawa, Bemowo",621 000 zł,12 938 zł/m²,48 m²,2 pokoje
"Warszawa, Mokotów, al. Niepodległości",629 000 zł,11 823 zł/m²,53.2 m²,3 pokoje
"Warszawa, Śródmieście, Frascati",2 100 000 zł,34 202 zł/m²,61.4 m²,3 pokoje
"Warszawa, Wola",499 000 zł,12 171 zł/m²,41 m²,2 pokoje
"Warszawa, Praga-Południe, Grochowska 357",685 000 zł,15 930 zł/m²,43 m²,2 pokoje
"Warszawa, Śródmieście, Powiśle, Radna",1 450 000 zł,21 970 zł/m²,66 m²,3 pokoje
"Warszawa, Bielany, Starej Baśni 3",659 000 zł,11 684 zł/m²,56.4 m²,3 pokoje
"Warszawa, Bielany, Słodowiec, ul. Leopolda Staffa / Bielany / Żoliborz",287 000 zł,15 944 zł/m²,18 m²,1 pokój
"Warszawa, mazowieckie",510 500 zł,14 586 zł/m²,35 m²,2 pokoje
"Warszawa, Żoliborz, Ludwika Rydygiera",840 000 zł,19 580 zł/m²,42.9 m²,2 pokoje
"Warszawa, Ursus, Skorosze, ul. Ryżowa",590 000 zł,11 456 zł/m²,51.5 m²,2 pokoje
"Warszawa, Wola, Wolska",759 000 zł,15 747 zł/m²,48.2 m²,3 pokoje
"Warszawa, Żoliborz, Stary Żoliborz, ul. Bieniewicka",808 000 zł,17 565 zł/m²,46 m²,2 pokoje
"Warszawa, Rembertów, Frontowa",720 000 zł,12 076 zł/m²,59.62 m²,3 pokoje
"Warszawa, Praga-Południe, ul. Jana Nowaka-Jeziorańskiego 8",759 993 zł,14 990 zł/m²,50.7 m²,2 pokoje
"Warszawa, Bemowo, Groty",820 000 zł,8623 zł/m²,95.1 m²,4 pokoje
"Warszawa, Wola, Esperanto",565 000 zł,12 135 zł/m²,46.56 m²,3 pokoje
"Warszawa, Wilanów, Adama Branickiego",999 000 zł,14 449 zł/m²,69.14 m²,3 pokoje
"Warszawa, Mokotów, Mariana Zdziechowskiego",794 000 zł,19 566 zł/m²,40.58 m²,2 pokoje
"Warszawa, Wola, Jana Olbrachta",899 000 zł,13 143 zł/m²,68.4 m²,3 pokoje
"Warszawa, Włochy, Przerwana",890 000 zł,12 286 zł/m²,72.44 m²,3 pokoje
"Warszawa, Ursynów, Kłobucka",832 464 zł,14 400 zł/m²,57.81 m²,3 pokoje
"Warszawa, Praga-Południe, Grochów, ul. Apteczna",635 000 zł,12 402 zł/m²,51.2 m²,2 pokoje
"Warszawa, Śródmieście, ul. Srebrna 6",649 000 zł,16 569 zł/m²,39.17 m²,2 pokoje
"Warszawa, Białołęka, ul. Aleksandra Kamińskiego",370 000 zł,11 315 zł/m²,32.7 m²,1 pokój
"Warszawa, Mokotów, ul. Jarosława Dąbrowskiego",399 500 zł,17 000 zł/m²,23.5 m²,1 pokój
"Warszawa, Ursus, ul. Stanisława Wojciechowskiego",459 000 zł,9914 zł/m²,46.3 m²,3 pokoje
"Warszawa, Wola, ul. Obozowa",385 000 zł,11 983 zł/m²,32.13 m²,1 pokój
"Warszawa, Ursus",540 000 zł,9310 zł/m²,58 m²,4 pokoje
"Warszawa, Praga-Południe, Saska Kępa, ul. Brazylijska",610 000 zł,12 788 zł/m²,47.7 m²,3 pokoje
"Warszawa, Włochy",770 000 zł,10 237 zł/m²,75.22 m²,4 pokoje
"Warszawa, Żoliborz, ul. ks. Jerzego Popiełuszki",405 000 zł,14 621 zł/m²,27.7 m²,1 pokój
"Warszawa, Centrum",698 000 zł,15 408 zł/m²,45.3 m²,3 pokoje
"Warszawa, Bielany, Jana Kasprowicza",1 620 000 zł,17 906 zł/m²,90.47 m²,4 pokoje
"Warszawa, Ursynów, Meander",665 000 zł,10 456 zł/m²,63.6 m²,3 pokoje
"Warszawa, Bielany, ul. Wrzeciono",420 000 zł,11 053 zł/m²,38 m²,2 pokoje
"Warszawa, Ursynów, Pyry, Ludwinowska",799 000 zł,11 254 zł/m²,71 m²,3 pokoje
"Warszawa, Śródmieście, ul. Lwowska",2 000 000 zł,19 608 zł/m²,102 m²,5 pokoi
"Warszawa, Śródmieście, Złota",650 000 zł,17 857 zł/m²,36.4 m²,2 pokoje
"Warszawa, Bemowo",485 000 zł,13 108 zł/m²,37 m²,2 pokoje
"Warszawa, Mokotów, Wałbrzyska 19",1 090 000 zł,11 978 zł/m²,91 m²,4 pokoje
"Warszawa, Żoliborz, ul. Władysława Broniewskiego",649 000 zł,13 809 zł/m²,47 m²,3 pokoje
"Warszawa, Śródmieście, Stare Miasto, ul. Brzozowa",1 328 000 zł,32 000 zł/m²,41.5 m²,2 pokoje
"Warszawa, Ursus, Skorosze, Skoroszewska",739 000 zł,11 447 zł/m²,64.56 m²,3 pokoje
"Warszawa, Praga-Południe, ul. Majdańska",1 757 000 zł,15 900 zł/m²,110.5 m²,4 pokoje
"Warszawa, Ursynów, Kabaty, ul. Belgradzka",1 045 000 zł,14 382 zł/m²,72.66 m²,3 pokoje
"Warszawa, Wola",290 000 zł,13 615 zł/m²,21.3 m²,1 pokój
"Warszawa, Wilanów",1 399 000 zł,12 272 zł/m²,114 m²,4 pokoje
"Warszawa, Wola, Ulrychów, stacja metra Księcia Janusza",519 000 zł,10 380 zł/m²,50 m²,3 pokoje
"Warszawa, Mokotów, Dolny Mokotów, ul. Iwicka",990 000 zł,17 025 zł/m²,58.15 m²,3 pokoje
"Warszawa, Bielany, Piaski, Zgrupowania AK Żmija",930 000 zł,11 938 zł/m²,77.9 m²,3 pokoje
"Warszawa, Praga-Południe, Grochów, Siennicka",610 000 zł,13 241 zł/m²,46.07 m²,2 pokoje
"Warszawa, Wola",423 000 zł,11 463 zł/m²,36.9 m²,2 pokoje
"Warszawa, Praga-Południe",440 000 zł,16 717 zł/m²,26.32 m²,1 pokój
"Warszawa, Białołęka",650 000 zł,10 350 zł/m²,62.8 m²,3 pokoje
"Warszawa, Bemowo",649 000 zł,10 752 zł/m²,60.36 m²,3 pokoje
"Warszawa, Praga-Północ, Tadeusza Korsaka 1",515 000 zł,13 919 zł/m²,37 m²,2 pokoje
"Warszawa, Praga-Południe, Stanisława Mikołajczyka 15",629 000 zł,8892 zł/m²,70.74 m²,3 pokoje
"Warszawa, Praga-Południe, Aleja Waszyngtona 77",730 000 zł,15 114 zł/m²,48.3 m²,2 pokoje
"Warszawa, Praga-Południe, Ostrobramska 80",680 000 zł,14 499 zł/m²,46.9 m²,2 pokoje
"Warszawa, Bemowo, ul. Batalionów Chłopskich 77D",955 000 zł,17 364 zł/m²,55 m²,2 pokoje
"Warszawa, Śródmieście, al. Jana Pawła II",599 000 zł,16 593 zł/m²,36.1 m²,2 pokoje
"Warszawa, Wola, Redutowa",438 000 zł,11 526 zł/m²,38 m²,2 pokoje
"Warszawa, Ursynów, Stryjeńskich",650 000 zł,10 334 zł/m²,62.9 m²,3 pokoje
"Warszawa, Ursynów, Stryjeńskich",659 000 zł,14 280 zł/m²,46.15 m²,2 pokoje
"Warszawa, Ursus, Posag 7 Panien",471 000 zł,11 023 zł/m²,42.73 m²,2 pokoje
"Warszawa, Bielany, ul. Antoniego Czechowa",409 900 zł,15 765 zł/m²,26 m²,1 pokój
"Warszawa, Wesoła",845 000 zł,9086 zł/m²,93 m²,3 pokoje
"Warszawa, Wola, ul. Goleszowska",790 000 zł,16 809 zł/m²,47 m²,2 pokoje
"Warszawa, Mokotów",470 000 zł,16 762 zł/m²,28.04 m²,1 pokój
"Warszawa, Bielany, ul. Osikowa 7",777 000 zł,12 422 zł/m²,62.55 m²,3 pokoje
"Warszawa, Białołęka, Claudia Monteverdiego",910 000 zł,11 196 zł/m²,81.28 m²,4 pokoje
"Warszawa, Praga-Południe, Saska Kępa, ul. Londyńska",399 000 zł,18 883 zł/m²,21.13 m²,1 pokój
"Warszawa, Białołęka",1 499 000 zł,13 207 zł/m²,113.5 m²,4 pokoje
"Warszawa, Wola, Ulrychów, Fort Wola",1 135 000 zł,17 462 zł/m²,65 m²,3 pokoje
"Warszawa, Ursynów, al. Komisji Edukacji Narodowej",1 230 000 zł,14 386 zł/m²,85.5 m²,4 pokoje
"Warszawa, Śródmieście, Śródmieście Południowe, al. Aleje Jerozolimskie",662 000 zł,17 892 zł/m²,37 m²,1 pokój
"Warszawa, Śródmieście",3 499 000 zł,24 779 zł/m²,141.21 m²,3 pokoje
"Warszawa, Mokotów, Zbyszka Cybulskiego",2 780 000 zł,23 559 zł/m²,118 m²,3 pokoje
"Warszawa, Ursynów, Imielin, Filipiny Płaskowickiej",520 000 zł,16 352 zł/m²,31.8 m²,1 pokój
"Warszawa, Targówek, Zacisze, Zielone Zacisze",819 000 zł,11 996 zł/m²,68.27 m²,3 pokoje
"Warszawa, Mokotów",749 000 zł,15 507 zł/m²,48.3 m²,3 pokoje
"Warszawa, Praga-Południe, Saska Kępa, al. Stanów Zjednoczonych",870 000 zł,12 500 zł/m²,69.6 m²,3 pokoje
"Warszawa, Bemowo, Jelonki, Kazimierza Wyki",552 000 zł,12 000 zł/m²,46 m²,2 pokoje
"Warszawa, Ursynów, Wawrzyńca Surowieckiego",820 000 zł,9716 zł/m²,84.4 m²,4 pokoje
"Warszawa, Praga-Południe, Witolin, Kokoryczki",860 000 zł,13 905 zł/m²,61.85 m²,3 pokoje
"Warszawa, Praga-Południe",549 000 zł,12 013 zł/m²,45.7 m²,2 pokoje
"Warszawa, Wola, Odolany, Jana Kazimierza",1 180 000 zł,17 121 zł/m²,68.92 m²,3 pokoje
"Warszawa, Praga-Południe, Grochów, Krypska",499 000 zł,11 578 zł/m²,43.1 m²,2 pokoje
"Warszawa, Wola, Ulrychów, Szulborska",620 000 zł,10 708 zł/m²,57.9 m²,3 pokoje
"Warszawa, Targówek, Elsnerów, Montwiłłowska",589 000 zł,12 888 zł/m²,45.7 m²,2 pokoje
"Warszawa, Praga-Północ, Nowa Praga, Wileńska",599 000 zł,13 500 zł/m²,44.37 m²,2 pokoje
"Warszawa, Mokotów, Wierzbno",725 000 zł,12 383 zł/m²,58.55 m²,2 pokoje
"Warszawa, Bemowo, Chrzanów",653 000 zł,12 985 zł/m²,50.29 m²,2 pokoje
"Warszawa, Bemowo, Jelonki, Lazurowa",549 000 zł,10 765 zł/m²,51 m²,2 pokoje
"Warszawa, Wawer, Chodzieska",750 000 zł,10 268 zł/m²,73.04 m²,3 pokoje
"Warszawa, Bielany, Marymont, Klaudyny",590 000 zł,10 987 zł/m²,53.7 m²,3 pokoje
"Warszawa, Żoliborz, ul. Elbląska",720 000 zł,14 694 zł/m²,49 m²,3 pokoje
"Warszawa, Bielany",519 000 zł,13 658 zł/m²,38 m²,2 pokoje
"Warszawa, Białołęka, Płochocińska 101H",399 000 zł,12 469 zł/m²,32 m²,1 pokój
"Warszawa, Białołęka",689 000 zł,9899 zł/m²,69.6 m²,3 pokoje
"Warszawa, Śródmieście, Śródmieście Południowe",599 000 zł,24 958 zł/m²,24 m²,1 pokój
"Warszawa, Mokotów, Nałęczowska 33",1 290 000 zł,17 432 zł/m²,74 m²,3 pokoje
"Warszawa, Ursynów, ul. Urwisko",982 800 zł,18 200 zł/m²,54 m²,2 pokoje
"Warszawa, Mokotów, Dolny Mokotów, ul. Bukowińska",1 310 400 zł,16 800 zł/m²,78 m²,3 pokoje
"Warszawa, Mokotów, Bluszczańska",795 000 zł,17 667 zł/m²,45 m²,2 pokoje
"Warszawa, Ursynów, Polinezyjska",599 000 zł,11 031 zł/m²,54.3 m²,2 pokoje
"Warszawa, Białołęka, Aleksandra Kamińskiego",650 000 zł,9461 zł/m²,68.7 m²,3 pokoje
"Warszawa, Bielany, ul. Josepha Conrada 4",679 000 zł,11 385 zł/m²,59.64 m²,3 pokoje
"Warszawa, Ursus, ul. Ryżowa",839 000 zł,10 358 zł/m²,81 m²,4 pokoje
"Warszawa, Wilanów, ul. Franciszka Klimczaka",989 000 zł,13 824 zł/m²,71.54 m²,3 pokoje
"Warszawa, Ochota, Filtry, Koszykowa",922 000 zł,16 464 zł/m²,56 m²,2 pokoje
"Warszawa, Żoliborz, Rydygiera 15A",779 000 zł,18 880 zł/m²,41.26 m²,2 pokoje
"Warszawa, Praga-Północ, Nowa Praga, Szymanowskiego 3",499 999 zł,14 463 zł/m²,34.57 m²,2 pokoje
"Warszawa, Śródmieście, ul. Nowogrodzka",796 000 zł,14 214 zł/m²,56 m²,2 pokoje
"Warszawa, Włochy, ul. Strubiczów",435 000 zł,11 600 zł/m²,37.5 m²,2 pokoje
"Warszawa, Wola, Odolany, Jana Kazimierza",950 000 zł,17 495 zł/m²,54.3 m²,2 pokoje
"Warszawa, Ursus, Posag 7 Panien",779 000 zł,12 299 zł/m²,63.34 m²,3 pokoje
"Warszawa, Bielany, ul. Wojciecha Bogusławskiego",579 000 zł,8935 zł/m²,64.8 m²,3 pokoje
"Warszawa, Wola, Odolany, Jana Kazimierza",1 025 000 zł,15 644 zł/m²,65.52 m²,3 pokoje
"Warszawa, Żoliborz, Ludwika Rydygiera",1 250 000 zł,19 231 zł/m²,65 m²,3 pokoje
"Warszawa, Wola, Koło, Zawiszy",1 190 000 zł,16 292 zł/m²,73.04 m²,3 pokoje
"Warszawa, Wola, Muranów, Burakowska",779 000 zł,21 284 zł/m²,36.6 m²,2 pokoje
"Warszawa, Wola, Odolany, Józefa Sowińskiego",960 000 zł,15 287 zł/m²,62.8 m²,3 pokoje
"Warszawa, Wola, Żytnia",410 000 zł,14 138 zł/m²,29 m²,1 pokój
"Warszawa, Ursynów, Leonida Teligi",660 000 zł,11 786 zł/m²,56 m²,3 pokoje
"Warszawa, Praga-Południe, Witolińska",540 000 zł,8852 zł/m²,61 m²,3 pokoje
"Warszawa, Białołęka, Krokwi",739 000 zł,13 865 zł/m²,53.3 m²,2 pokoje
"Warszawa, Śródmieście, Nowe Miasto, Koźla",799 000 zł,14 527 zł/m²,55 m²,3 pokoje
"Warszawa, Bielany, Maszewska",585 000 zł,10 636 zł/m²,55 m²,2 pokoje
"Warszawa, Wilanów, al. Aleja Rzeczypospolitej",550 000 zł,17 339 zł/m²,31.72 m²,1 pokój
"Warszawa, Ursus",449 000 zł,13 606 zł/m²,33 m²,2 pokoje
"Warszawa, Wola, ul. Żytnia",719 000 zł,11 597 zł/m²,62 m²,2 pokoje
"Warszawa, Mokotów, Górny Mokotów, Sandomierska 18",1 399 000 zł,19 986 zł/m²,70 m²,3 pokoje
"Warszawa, Ursynów, Imielin, Stanisława Herbsta",469 000 zł,14 984 zł/m²,31.3 m²,1 pokój
"Warszawa, Wilanów, Aleja Rzeczypospolitej",1 980 000 zł,19 412 zł/m²,102 m²,4 pokoje
"Warszawa, Śródmieście, Warecka",1 816 100 zł,26 000 zł/m²,69.85 m²,3 pokoje
"Warszawa, Ursynów, Natolin, Na Uboczu",558 000 zł,13 160 zł/m²,42.4 m²,2 pokoje
"Warszawa, Wola, Mirów, Pańska",555 000 zł,14 800 zł/m²,37.5 m²,2 pokoje
"Warszawa, Praga-Południe, gen. Romana Abrahama",570 000 zł,9645 zł/m²,59.1 m²,3 pokoje
"Warszawa, Ursus, ul. Ryżowa",529 000 zł,12 302 zł/m²,43 m²,2 pokoje
"Warszawa, Ursus, ul. Górna Droga",417 000 zł,9392 zł/m²,44.4 m²,2 pokoje
"Warszawa, Ochota, ul. Maszynowa",630 000 zł,12 353 zł/m²,51 m²,2 pokoje
"Warszawa, Wola",826 000 zł,15 529 zł/m²,53.19 m²,3 pokoje
"Warszawa, Wola, Złota",531 560 zł,13 700 zł/m²,38.8 m²,2 pokoje
"Warszawa, Wola, Koło",550 000 zł,14 628 zł/m²,37.6 m²,2 pokoje
"Warszawa, Bielany",695 000 zł,12 193 zł/m²,57 m²,3 pokoje
"Warszawa, Białołęka, ul. Podłużna",450 000 zł,10 227 zł/m²,44 m²,2 pokoje
"Warszawa, Mokotów, AL. Niepodległości 82",995 000 zł,17 561 zł/m²,56.66 m²,2 pokoje
"Warszawa, Mokotów, Stegny, ul. Sardyńska",809 000 zł,12 720 zł/m²,63.6 m²,3 pokoje
"Warszawa, Mokotów",625 000 zł,16 361 zł/m²,38.2 m²,2 pokoje
"Warszawa, Wawer, ul. Celulozy",990 000 zł,8250 zł/m²,120 m²,4 pokoje
"Warszawa, Białołęka, Marywilska 58A",330 000 zł,11 000 zł/m²,30 m²,1 pokój
"Warszawa, Praga-Południe, ul. gen. Stanisława Skalskiego",1 350 000 zł,17 089 zł/m²,79 m²,4 pokoje
"Warszawa, Wola, Emanuela Ringelbluma 3",470 000 zł,11 301 zł/m²,41.59 m²,2 pokoje
"Warszawa, Praga-Południe, Grochowska",529 000 zł,9981 zł/m²,53 m²,2 pokoje
"Warszawa, Mokotów, Henryków, Sąsiedzka 6b",1 089 990 zł,8183 zł/m²,133.2 m²,5 pokoi
"Warszawa, Praga-Południe",380 000 zł,13 103 zł/m²,29 m²,1 pokój
"Warszawa, Mokotów, Jarosława Dąbrowskiego",1 050 000 zł,17 930 zł/m²,58.56 m²,3 pokoje
"Warszawa, Śródmieście, Tamka",600 000 zł,20 000 zł/m²,30 m²,2 pokoje
"Warszawa, Śródmieście, Foksal",1 600 000 zł,35 165 zł/m²,45.5 m²,2 pokoje
"Warszawa, Śródmieście, Warecka",2 100 000 zł,31 343 zł/m²,67 m²,3 pokoje
"Warszawa, Śródmieście, Złota",8 900 000 zł,55 074 zł/m²,161.6 m²,4 pokoje
"Warszawa, Mokotów, Sielce",1 300 000 zł,25 824 zł/m²,50.34 m²,2 pokoje
"Warszawa, Śródmieście, Mokotowska",2 400 000 zł,27 273 zł/m²,88 m²,4 pokoje
"Warszawa, Mokotów, Aleja Wilanowska",2 249 000 zł,23 186 zł/m²,97 m²,4 pokoje
"Warszawa, Praga-Południe, Kinowa",700 000 zł,17 275 zł/m²,40.52 m²,3 pokoje
"Warszawa, Śródmieście, Józefa Lewartowskiego",690 000 zł,19 714 zł/m²,35 m²,2 pokoje
"Warszawa, Śródmieście, Miła",490 000 zł,19 216 zł/m²,25.5 m²,1 pokój
"Warszawa, Włochy, Przyłęcka",1 900 000 zł,7725 zł/m²,245.95 m²,10 pokoi
